request_id,arrival_s,origin_floor,destination_floor,passengers,nearest_elevator,nearest_pickup_s,nearest_dropoff_s,nearest_wait_s,optimized_elevator,optimized_pickup_s,optimized_dropoff_s,optimized_wait_s
88.000,2260.000,15.000,3.000,1.000,2.000,2270.800,2312.400,10.800,3.000,2311.600,2353.200,51.600
89.000,2265.000,1.000,3.000,1.000,2.000,2326.000,2339.600,61.000,2.000,2334.000,2347.600,69.000
90.000,2270.000,8.000,2.000,1.000,3.000,2374.800,2399.600,104.800,1.000,2329.400,2354.200,59.400
91.000,2270.000,1.000,3.000,1.000,2.000,2353.200,2366.800,83.200,2.000,2361.200,2374.800,91.200
92.000,2290.000,6.000,1.000,1.000,2.000,2383.200,2405.200,93.200,3.000,2369.600,2391.600,79.600
93.000,2290.000,1.000,7.000,1.000,2.000,2413.200,2438.000,123.200,1.000,2365.000,2389.800,75.000
94.000,2320.000,1.000,12.000,3.000,3.000,2410.400,2449.200,90.400,2.000,2388.400,2427.200,68.400
95.000,2385.000,1.000,7.000,2.000,2.000,2462.800,2487.600,77.800,3.000,2399.600,2424.400,14.600
96.000,2455.000,14.000,12.000,1.000,0.000,2468.600,2482.200,13.600,0.000,2471.400,2485.000,16.400
97.000,2460.000,13.000,1.000,1.000,3.000,2470.800,2512.400,10.800,2.000,2470.800,2512.400,10.800
98.000,2505.000,10.000,16.000,1.000,1.000,2515.800,2540.600,10.800,0.000,2518.600,2543.400,13.600
